family,L,M,N,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,24,12,576,0.05,10000,0,0.0,4.955,mixed,0.005,0.1
bivariate_bicycle,24,12,576,0.07,10000,2,0.0002,5.484,mixed,0.007,0.1
bivariate_bicycle,24,12,576,0.09,10000,10,0.001,4.9,mixed,0.009,0.1
bivariate_bicycle,24,12,576,0.11,10000,10,0.001,5.458,mixed,0.011,0.1
bivariate_bicycle,24,12,576,0.13,10000,17,0.0017,6.329,mixed,0.013,0.1
bivariate_bicycle,24,12,576,0.15,10000,30,0.003,9.055,mixed,0.015,0.1
bivariate_bicycle,24,12,576,0.17,10000,52,0.0052,11.528,mixed,0.017,0.1
bivariate_bicycle,24,12,576,0.19,10000,110,0.011,15.921,mixed,0.019,0.1
bivariate_bicycle,24,12,576,0.21,10000,399,0.0399,23.29,mixed,0.021,0.1
bivariate_bicycle,24,12,576,0.23,10000,1286,0.1286,35.126,mixed,0.023,0.1
bivariate_bicycle,24,12,576,0.21,50000,1895,0.0379,121.255,mixed,0.021,0.1
bivariate_bicycle,24,12,576,0.23,50000,6329,0.12658,294.128,mixed,0.023,0.1
bivariate_bicycle,24,12,576,0.22,50000,3677,0.07354,243.1,mixed,0.022,0.1
bivariate_bicycle,24,12,576,0.225,50000,4432,0.08864,156.899,mixed,0.0225,0.1
bivariate_bicycle,24,12,576,0.2275,50000,4277,0.08554,3059.006,mixed,0.02275,0.1
bivariate_bicycle,24,12,576,0.22875,50000,3541,0.07082,190.209,mixed,0.022875,0.1
bivariate_bicycle,24,12,576,0.229375,50000,5656,0.11312,214.502,mixed,0.0229375,0.1
bivariate_bicycle,24,12,576,0.2290625,50000,3592,0.07184,202.159,mixed,0.02290625,0.1
bivariate_bicycle,24,12,576,0.05,10000,4,0.0004,6.157,mixed,0.015,0.3
bivariate_bicycle,24,12,576,0.07,10000,25,0.0025,7.867,mixed,0.021,0.3
bivariate_bicycle,24,12,576,0.09,10000,47,0.0047,9.514,mixed,0.027,0.3
bivariate_bicycle,24,12,576,0.11,10000,90,0.009,15.935,mixed,0.033,0.3
bivariate_bicycle,24,12,576,0.13,10000,278,0.0278,23.664,mixed,0.039,0.3
bivariate_bicycle,24,12,576,0.15,10000,1016,0.1016,58.022,mixed,0.045,0.3
bivariate_bicycle,24,12,576,0.13,50000,1350,0.027,215.362,mixed,0.039,0.3
bivariate_bicycle,24,12,576,0.15,50000,5029,0.10058,206.765,mixed,0.045,0.3
bivariate_bicycle,24,12,576,0.14,50000,2471,0.04942,150.865,mixed,0.042,0.3
bivariate_bicycle,24,12,576,0.145,50000,4091,0.08182,173.938,mixed,0.0435,0.3
bivariate_bicycle,24,12,576,0.1475,50000,4970,0.0994,192.926,mixed,0.04425,0.3
bivariate_bicycle,24,12,576,0.14875,50000,4547,0.09094,178.282,mixed,0.044625,0.3
bivariate_bicycle,24,12,576,0.149375,50000,4795,0.0959,4628.881,mixed,0.0448125,0.3
bivariate_bicycle,24,12,576,0.1496875,50000,7128,0.14256,233.611,mixed,0.04490625,0.3
bivariate_bicycle,24,12,576,0.05,10000,14,0.0014,8.932,mixed,0.025,0.5
bivariate_bicycle,24,12,576,0.07,10000,68,0.0068,15.436,mixed,0.035,0.5
bivariate_bicycle,24,12,576,0.09,10000,176,0.0176,42.569,mixed,0.045,0.5
bivariate_bicycle,24,12,576,0.11,10000,1293,0.1293,49.703,mixed,0.055,0.5
bivariate_bicycle,24,12,576,0.09,50000,914,0.01828,99.859,mixed,0.045,0.5
bivariate_bicycle,24,12,576,0.11,50000,6726,0.13452,209.234,mixed,0.055,0.5
bivariate_bicycle,24,12,576,0.1,50000,2064,0.04128,157.022,mixed,0.05,0.5
bivariate_bicycle,24,12,576,0.105,50000,4237,0.08474,305.753,mixed,0.0525,0.5
bivariate_bicycle,24,12,576,0.1075,50000,5084,0.10168,279.745,mixed,0.05375,0.5
bivariate_bicycle,24,12,576,0.10625,50000,3484,0.06968,152.286,mixed,0.053125,0.5
bivariate_bicycle,24,12,576,0.106875,50000,3961,0.07922,151.22,mixed,0.0534375,0.5
bivariate_bicycle,24,12,576,0.1071875,50000,4031,0.08062,156.187,mixed,0.05359375,0.5
bivariate_bicycle,24,12,576,0.05,10000,50,0.005,9.81,mixed,0.0375,0.75
bivariate_bicycle,24,12,576,0.07,10000,292,0.0292,20.892,mixed,0.0525,0.75
bivariate_bicycle,24,12,576,0.09,10000,2208,0.2208,48.043,mixed,0.0675,0.75
bivariate_bicycle,24,12,576,0.07,50000,1550,0.031,104.544,mixed,0.0525,0.75
bivariate_bicycle,24,12,576,0.09,50000,10594,0.21188,267.004,mixed,0.0675,0.75
bivariate_bicycle,24,12,576,0.08,50000,3752,0.07504,9971.703,mixed,0.06,0.75
bivariate_bicycle,24,12,576,0.085,50000,6497,0.12994,208.284,mixed,0.06375,0.75
bivariate_bicycle,24,12,576,0.0825,50000,5051,0.10102,163.664,mixed,0.061875,0.75
bivariate_bicycle,24,12,576,0.08125,50000,5620,0.1124,159.045,mixed,0.0609375,0.75
bivariate_bicycle,24,12,576,0.080625,50000,4059,0.08118,164.237,mixed,0.06046875,0.75
bivariate_bicycle,24,12,576,0.0809375,50000,4187,0.08374,179.937,mixed,0.060703125,0.75
bivariate_bicycle,24,12,576,0.05,10000,130,0.013,16.779,mixed,0.05,1.0
bivariate_bicycle,24,12,576,0.07,10000,1505,0.1505,391.619,mixed,0.07,1.0
bivariate_bicycle,24,12,576,0.05,50000,674,0.01348,71.602,mixed,0.05,1.0
bivariate_bicycle,24,12,576,0.07,50000,8118,0.16236,204.936,mixed,0.07,1.0
bivariate_bicycle,24,12,576,0.06,50000,2217,0.04434,118.458,mixed,0.06,1.0
bivariate_bicycle,24,12,576,0.065,50000,5540,0.1108,158.309,mixed,0.065,1.0
bivariate_bicycle,24,12,576,0.0625,50000,3991,0.07982,138.852,mixed,0.0625,1.0
bivariate_bicycle,24,12,576,0.06375,50000,3567,0.07134,146.148,mixed,0.06375,1.0
bivariate_bicycle,24,12,576,0.064375,50000,3967,0.07934,152.9,mixed,0.064375,1.0
bivariate_bicycle,24,12,576,0.0646875,50000,5099,0.10198,252.376,mixed,0.0646875,1.0
bivariate_bicycle,24,12,576,0.05,10000,0,0.0,5.022,mixed,0.0025,0.05
bivariate_bicycle,24,12,576,0.07,10000,0,0.0,7.017,mixed,0.0035,0.05
bivariate_bicycle,24,12,576,0.09,10000,2,0.0002,7.411,mixed,0.0045,0.05
bivariate_bicycle,24,12,576,0.11,10000,2,0.0002,7.393,mixed,0.0055,0.05
bivariate_bicycle,24,12,576,0.13,10000,6,0.0006,8.451,mixed,0.0065,0.05
bivariate_bicycle,24,12,576,0.15,10000,11,0.0011,9.417,mixed,0.0075,0.05
bivariate_bicycle,24,12,576,0.17,10000,15,0.0015,11.163,mixed,0.0085,0.05
bivariate_bicycle,24,12,576,0.19,10000,33,0.0033,13.729,mixed,0.0095,0.05
bivariate_bicycle,24,12,576,0.21,10000,45,0.0045,17.612,mixed,0.0105,0.05
bivariate_bicycle,24,12,576,0.23,10000,81,0.0081,23.682,mixed,0.0115,0.05
bivariate_bicycle,24,12,576,0.25,10000,207,0.0207,35.687,mixed,0.0125,0.05
bivariate_bicycle,24,12,576,0.27,10000,1202,0.1202,55.34,mixed,0.0135,0.05
bivariate_bicycle,24,12,576,0.265939698,50000,2579,0.05158,248.385,mixed,0.013296985,0.05
bivariate_bicycle,24,12,576,0.268804749,50000,4943,0.09886,267.276,mixed,0.013440237,0.05
bivariate_bicycle,24,12,576,0.2688686,50000,2980,0.0596,266.559,mixed,0.01344343,0.05
bivariate_bicycle,24,12,576,0.269622867,50000,4190,0.0838,270.008,mixed,0.013481143,0.05
bivariate_bicycle,24,12,576,0.269790712,50000,5120,0.1024,273.145,mixed,0.013489536,0.05
bivariate_bicycle,24,12,576,0.269769055,50000,5791,0.11582,276.345,mixed,0.013488453,0.05
bivariate_bicycle,24,12,576,0.05,10000,1,0.0001,7.021,mixed,0.01,0.2
bivariate_bicycle,24,12,576,0.07,10000,11,0.0011,8.14,mixed,0.014,0.2
bivariate_bicycle,24,12,576,0.09,10000,16,0.0016,9.475,mixed,0.018,0.2
bivariate_bicycle,24,12,576,0.11,10000,37,0.0037,12.144,mixed,0.022,0.2
bivariate_bicycle,24,12,576,0.13,10000,63,0.0063,16.281,mixed,0.026,0.2
bivariate_bicycle,24,12,576,0.15,10000,162,0.0162,24.769,mixed,0.03,0.2
bivariate_bicycle,24,12,576,0.17,10000,465,0.0465,41.454,mixed,0.034,0.2
bivariate_bicycle,24,12,576,0.19,10000,1468,0.1468,67.529,mixed,0.038,0.2
bivariate_bicycle,24,12,576,0.180667996,50000,4407,0.08814,269.62,mixed,0.036133599,0.2
bivariate_bicycle,24,12,576,0.18255476,50000,4910,0.0982,281.517,mixed,0.036510952,0.2
bivariate_bicycle,24,12,576,0.18283051,50000,5970,0.1194,286.349,mixed,0.036566102,0.2
bivariate_bicycle,24,12,576,0.182578173,50000,4951,0.09902,284.846,mixed,0.036515635,0.2
bivariate_bicycle,24,12,576,0.182590307,50000,5090,0.1018,282.696,mixed,0.036518061,0.2
bivariate_bicycle,24,12,576,0.18258245,50000,5937,0.11874,287.049,mixed,0.03651649,0.2
